"","X","PROGRAM.TYPE","PROGRAM","SITE.NAME","BOROUGH...COMMUNITY","AGENCY","Contact.Number","Grade.Level...Age.Group","Location.1","Postcode","Latitude","Longitude"
"131",131,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL (Q005)","Queens","August Martin High School","(718) 784-6173"," High School","50 40 JACOBUS STREET",11373,40.737718,-73.887429
"132",132,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 110 MONITOR SCHOOL","Brooklyn","North Brooklyn Development Corp","(718) 501-2861","OST","124 Monitor Street",11222,40.723897,-73.942312
"133",133,"After-School Programs","Teen Action Program","PS 018 JOHN G WHITTIER (R018)","Staten Island","United Activities Unlimited, Inc.","718.448.0477","13 to 21","221 Broadway",10310,40.636587,-74.117509
"134",134,"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA BAY VIEW HOUSES","Brooklyn","Sesame Flyers  @Bayview Community Center","(718) 968-9621","6 and up","5985 Shore Parkway",11236,40.632639,-73.883788
"135",135,"After-School Programs","Out of School Time","Jacob A. Riis","Queens","Jacob A. Riis Neighborhood Settlement, Inc.","(718) 784-7447","Elementary","10 25 41st Avenue",11101,40.755488,-73.945328
"136",136,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 16 LEONARD DUNKLY SCHOOL","Brooklyn","YMCA of Greater New York/Greenpoint","(718) 389-3700","OST","157 WILSON STREET",11211,40.706023,-73.961476
"137",137,"Immigration Services,Immigrant Support Services","Domestic Violence Program","Edith and Carl Marks Jewish Community House of Bensonhurst","Brooklyn","New York Legal Assistance Group (NYLAG)","212.613.5000","All Ages","7802 Bay Parkway",11214,40.606369,-73.989235
"138",138,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","St. Dominic School","Bronx","MBD Community Housing Corp","(64) 686-6102","Middle School","1684 White Plains Road",10462,40.843523,-73.865496
"139",139,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 153 HOMECREST SCHOOL","Brooklyn","Chinese American Planning Council","(718) 627-6373","Elementary","1970 Homecrest Avenue",11229,40.601617,-73.959779
"140",140,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 48 POLICE OFFICER MICHAEL","Manhattan","Community Association of Progressive Dominicans","(646) 652-9918","OST","4360 Broadway",10033,40.853466,-73.934048
"141",141,"After-School Programs","Out of School Time","Henry Street SettlemntOpt 2 HS","Manhattan","Henry Street Settlement","(212) 254-3100","High School","301 Henry Street",10002,40.714054,-73.982797
"142",142,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 12 JAMES B. COLGATE SCHOO","Queens","Maspeth Town Hall, Inc.","(646) 300-4311","OST","42 00 72 STREET",11377,40.742633,-73.892805
"143",143,"Reading & Writing,NDA Programs,Family Literacy","Adolescent Literacy","I.S.168 - Parsons School ","Queens","The Child Center of NY","718.458.4243 ext. 205","grades 6 to 8","158 40 76th Road",11366,40.724458,-73.810216
"144",144,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Flushing High School - H.S. 460","Queens","Sports & Arts In Schools Foundation, Inc.","718.786.7110","High School","35 01 Union Street",11354,40.765166,-73.82789
"145",145,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Oceanview Jewish Center","Brooklyn","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","(718) 891-0264","16+","3100 Brighton 4th Street",11235,40.576651,-73.963189
"146",146,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 153 HELEN KELLER SCHOOL","Bronx","Mosholu Montefiore Community Center, Inc.","(917) 482-5030","Elementary","650 Baychester Ave",10475,40.872614,-73.833698
"147",147,"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA OCEAN BAY APARTMENTS","Queens","Police Athletic League @Ocean Bay Community Center","(718) 634-4493","6 and up","57 10 Beach Channel Drive",11692,40.59476,-73.787436
"148",148,"After-School Programs","Teen Action Program","JHS 162 LOLA RODRIGUEZ DE TIO (X162)","Bronx","Sports and Arts In Schools Foundation, Inc.","347.417.8159","13 to 21","600 Saint Anns Avenue",10455,40.815498,-73.91224
"149",149,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 20 JOHN BOWNE SCHOOL","Queens","Chinese American Planning Council","(718) 358-7602","Elementary","142 30 Barclay Avenue",11355,40.758689,-73.824832
"150",150,"After-School Programs,Summer Program,Summer Camp","Out of School Time","South Jamaica Center 1","Queens","Police Athletic League, Inc.","(718) 978-4655","OST","116 25 Guy R Brewer Boulevard",11434,40.686208,-73.784144
"151",151,"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Cabrini Immigrant Services (Admin & Activity site)","Manhattan","Cabrini Center for Nursing & Rehabilitation","212.791.4590","18+","139 Henry Street",10002,40.713339,-73.990755
"152",152,"After-School Programs","Beacon","IS 10","Queens","Goodwill Industries of Greater NY","718.777.9202","6 and up","45 11 31st Avenue",11103,40.759363,-73.912902
"153",153,"After-School Programs","Out of School Time","Groundwork for Success (GWS)","Brooklyn","Groundwork Inc.","(718) 346-2200","High School","692 Blake Avenue",11207,40.668072,-73.89317
"154",154,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Adlai E. Stevenson High School - H.S. 450","Bronx","Episcopal Social Services, of New York, Inc.","212.886.5602","High School","1980 Lafayette Avenue",10473,40.82229,-73.856167
"155",155,"After-School Programs","Beacon","PS 18","Staten Island","United Activities Unlimited","718.448.4834","6 and up","221 Broadway",10310,40.636587,-74.117509
"156",156,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 132 JUAN PABLO DUARTE SCH","Manhattan","Alianza Dominicana, Inc.","(917) 258-3900","Elem/MS/HS","185 Wadsworth Avenue",10033,40.850626,-73.934377
"157",157,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Middle School 136","Brooklyn","Educational Counseling Center","(718) 788-3500","Middle School","4004 Fourth Avenue",11232,40.651977,-74.006862
"158",158,"After-School Programs","Out of School Time","PS 169-Bay Terrace 2","Queens","Samuel Field YM & YWHA, Inc.","(718) 423-6111","High School","18 25 212th Street",11360,40.782298,-73.779099
"159",159,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Brooklyn College Arts Lab","Brooklyn","NEW UTRECHT HIGH SCHOOL (K445)","(718) 951-5015"," High School","2900 Bedford Avenue",11210,40.631691,-73.952656
"160",160,"After-School Programs","Out of School Time","Brooklyn Collegiate 1","Brooklyn","Sports and Arts In Schools Foundation, Inc.","(718) 922-1145","Middle School","2240 Dean Street",11233,40.674832,-73.91258
"161",161,"After-School Programs","Out of School Time","South Jamaica Center 1","Queens","Police Athletic League, Inc.","(718) 978-4655","Elementary","116 25 Guy R Brewer Boulevard",11434,40.686208,-73.784144
"162",162,"After-School Programs","Out of School Time","P.S. 18 EDWARD BUSH SCHOOL","Brooklyn","St. Nicholas Neighborhood Preservation Corporation","(718) 599-9224","Elementary","101 MAUJER STREET",11206,40.710609,-73.946977
"163",163,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 86 IRVINGTON SCHOOL","Brooklyn","Ridgewood Bushwick Senior Citizens Council","(718) 381-9653","Elementary","220 Irving Avenue",11237,40.700774,-73.91748
"164",164,"After-School Programs","Out of School Time","So. Bronx Overall (opt. 2)","Bronx","South Bronx Overall Economic Devlpmt Corp.Opt 2HS ","(718) 732-7643","High School","1300 Boynton Ave",10472,40.831601,-73.878912
"165",165,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Council of Jewish Organizations of Flatbush, Inc.","Brooklyn","Council of Jewish Organizations of Flatbush, Inc.","718-252-4446","14 to 24","1550 Coney Island Avenue",11230,40.619517,-73.964188
"166",166,"After-School Programs","Beacon","MS 2","Brooklyn","Research Foundation of CUNY","718.826.2889","6 and up","655 Parkside Avenue",11226,40.656183,-73.951583
"167",167,"After-School Programs","Out of School Time","C.E.S. 230 PS 230 DR ROLAND N","Bronx","Supportive Childrens Advocacy Network (SCAN)","(718) 583-6116","Elementary","275 Harlem River Park Bridge",10453,40.852536,-73.921467
"168",168,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","PS 25 - Eubie Blake School","Brooklyn","CAMBA","(718) 940-1737 x 424","16+","787 Lafayette Avenue",11221,40.691037,-73.941342
"169",169,"After-School Programs","Teen Action Program","IS 027 ANNING S PRALL (R027)","Staten Island","Sports and Arts In Schools Foundation, Inc.","347.417.8161","13 to 21","11 CLOVE LAKE PLACE",10310,40.628169,-74.116997
"170",170,"After-School Programs,Jobs & Internships,Youth Employment","Out-of-School Youth Employment (OSY)","South Bronx Job Corps","Bronx","Arbor Employment and Training","718.731.7686","16 to 21","1771 Andrews Avenue",10453,40.850677,-73.91682
"171",171,"After-School Programs","Out of School Time","P.S. 121 THE THROOP SCHOOL","Bronx","New York Junior Tennis League","(718) 231-3239","Elementary","2750 THROOP AVENUE",10469,40.86608,-73.850982
"172",172,"After-School Programs","Out of School Time","P.S. 8 P.S. 008 ISSAC VARIAN","Bronx","Mosholu Montefiore Community Center, Inc.","(718) 365-3857","Elementary","3010 Briggs Avenue",10458,40.872612,-73.883574
"173",173,"After-School Programs","Out of School Time","Central Queens YM","Queens","Jewish Child Care Association","(718) 275-6489","High School","67 09 108th Street",11375,40.728702,-73.847414
"174",174,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Manhattan Center for Science and Mathematics","New York","Far Rockaway High School","(212) 284-4587"," High School","280 Pleasant Avenue",10029,40.794476,-73.933565
"175",175,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 22 P.S. 22","Brooklyn","Friends of Crown Heights Educational Center","(718) 638-8686","OST","443 St Marks Avenue",11238,40.676774,-73.960058
"176",176,"After-School Programs","Out of School Time","PS 056 HARRY EICHLER (Q056)","Queens","The Child Center of New York (QCG) ","(347) 510-4894","Elementary","86 10 114 STREET",11418,40.69919,-73.835299
"177",177,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Catholic Charities Neighborhood Services","Queens","Catholic Charities Neighborhood Services","(718) 726-9790 x 128","16+","23 40 Astoria Boulevard",11102,40.771582,-73.92375
"178",178,"After-School Programs","Out of School Time","P.S. 186 DR. IRVING A. GLADSTO","Brooklyn","St. Rosalia-Regina Pacis Neighborhood Improvement","(718) 236-0971","Elementary","7601 19th Avenue",11214,40.611483,-73.994677
"179",179,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Jewish Institute of Queens","Queens","Jewish Institute of Queens","(718) 426-9369","OST","60 05 Woodhaven Blvd",11373,40.731256,-73.871561
"180",180,"Family Support,NDA Programs"," Housing","Aids Center of Queens County","Queens","International Tower for Seniors","(718) 896-2500","Adults","1600 Central Avenue",11691,40.605182,-73.751962
"181",181,"After-School Programs","Out of School Time","Boys To Men","Bronx","Inwood House","(718) 742-8100","Middle School","522 Courtland Avenue",10451,40.816006,-73.919783
"182",182,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Edith and Carl Marks Jewish Community House of Bensonhurst","Brooklyn","Edith and Carl Marks Jewish Community House of Bensonhurst","718-331-6800 x112","14 to 24","7802 Bay Parkway",11214,40.606369,-73.989235
"183",183,"After-School Programs","Out of School Time","P.S. 140 EAGLE SCHOOL","Bronx","Kips Bay Boys & Girls Club","(718) 585-1205","Elementary","916 Eagle Avenue",10456,40.823289,-73.907948
"184",184,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 32 SAMUEL MILLS SPROLE","Brooklyn","Good Shepherd Services","(718) 625-5876","OST","317 Hoyt Street",11231,40.680445,-73.991949
"185",185,"After-School Programs","Out of School Time","P.S. 200 BENSON SCHOOL","Brooklyn","YMCA of Greater New York/Prospect Park","(917) 842-7569","Elementary","1940 BENSON AVENUE",11214,40.603188,-74.001408
"186",186,"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 198/77 - Isador & Ida Straus School","New York","Stanley M. Isaacs Neighborhood Center, Inc.","212-360-7625","A parent 16 Years Old or Older ","1700 Third Avenue",10128,40.784826,-73.949611
"187",187,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S./I.S. 43 P.S. 43","Queens","Federation Employment & Guidance Services (FEGS)","(718) 471-7875","Elementary","160 Beach 29th Street",11691,40.593834,-73.76174
"188",188,"After-School Programs","Out of School Time","Sunnyside Community","Queens","Sunnyside Community Service, Inc.","(718) 784-6173","High School","43 31 39th Street",11104,40.74519,-73.925909
"189",189,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 219 KENNEDY-KING SCHOOL","Brooklyn","University Settlement Society of New York, Inc","(917) 828-6376","OST","1060 CLARKSON AVENUE",11212,40.659288,-73.922919
"190",190,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Brooklyn Chinese-American Association","Brooklyn","Brooklyn Chinese-American Association","(718) 438-0008","16+","6809 20th Avenue",11204,40.61468,-73.987765
"191",191,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Washington Houses Community Center","New York","Union Settlement Association","212.828.6018","High School","1775 Third Avenue",10029,40.786574,-73.948303
"192",192,"After-School Programs,Summer Program,Summer Camp","Out of School Time","THE SCHOOL FOR HUMAN RIGHTS","Brooklyn","Community Counseling and Mediation","(718) 230-5100","Middle School","600 Kingston Avenue
floor ",11203,40.658893,-73.942458
"193",193,"After-School Programs","Beacon","JHS 349/345","Bronx","Aspira of New York","718.842.8289","6 and up","345 Brook Avenue",10454,40.81004,-73.917792
"194",194,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 188 KINGSBURY SCHOOL","Queens","The Child Center of New York (QCG) ","(917) 459-4417","OST","218 12 HARTLAND AVENUE",11364,40.736177,-73.753159
"195",195,"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Make the Road New York","Brooklyn","Harlem RBI","(347) 243-7249","Adults","301 Grove Street",11237,40.698448,-73.915629
"196",196,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 94 KINGS COLLEGE SCHOOL","Bronx","Mosholu Montefiore Community Center, Inc.","(718) 405-6345","Elementary","3530 KINGS COLLEGE PLACE",10467,40.880522,-73.87572
"197",197,"After-School Programs","Beacon","JHS 126","Brooklyn","St. Nicholas Neighborhood Preservation Corporation","718.388.5546","6 and up","424 Leonard Street",11222,40.719819,-73.948625
"198",198,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY (X275)","Bronx","Citizens Advice Bureau","(718) 732-7523"," High School","800 GUN HILL ROAD",10467,40.875953,-73.86197
"199",199,"After-School Programs","Out of School Time","I.S. 318 EUGENIO MARIA DE HOST","Brooklyn","Sports and Arts In Schools Foundation, Inc.","(718) 782-0589","Middle School","101 Walton Street",11206,40.7025,-73.948869
