,Unnamed: 0,PROGRAM.TYPE,PROGRAM,SITE.NAME,BOROUGH...COMMUNITY,AGENCY,Contact.Number,Grade.Level...Age.Group,Location.1,Postcode,Latitude,Longitude
139,140,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 48 POLICE OFFICER MICHAEL,Manhattan,Community Association of Progressive Dominicans,(646) 652-9918,OST,4360 Broadway,10033,40.853466,-73.934048
140,141,After-School Programs,Out of School Time,Henry Street SettlemntOpt 2 HS,Manhattan,Henry Street Settlement,(212) 254-3100,High School,301 Henry Street,10002,40.714054,-73.98279699999999
141,142,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 12 JAMES B. COLGATE SCHOO,Queens,"Maspeth Town Hall, Inc.",(646) 300-4311,OST,42 00 72 STREET,11377,40.742633000000005,-73.89280500000001
142,143,"Reading & Writing,NDA Programs,Family Literacy",Adolescent Literacy,I.S.168 - Parsons School ,Queens,The Child Center of NY,718.458.4243 ext. 205,grades 6 to 8,158 40 76th Road,11366,40.724458,-73.810216
143,144,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Flushing High School - H.S. 460,Queens,"Sports & Arts In Schools Foundation, Inc.",718.786.7110,High School,35 01 Union Street,11354,40.765166,-73.82789
144,145,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Oceanview Jewish Center,Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",(718) 891-0264,16+,3100 Brighton 4th Street,11235,40.576651,-73.963189
145,146,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 153 HELEN KELLER SCHOOL,Bronx,"Mosholu Montefiore Community Center, Inc.",(917) 482-5030,Elementary,650 Baychester Ave,10475,40.872614,-73.833698
146,147,"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA OCEAN BAY APARTMENTS,Queens,Police Athletic League @Ocean Bay Community Center,(718) 634-4493,6 and up,57 10 Beach Channel Drive,11692,40.59476,-73.787436
147,148,After-School Programs,Teen Action Program,JHS 162 LOLA RODRIGUEZ DE TIO (X162),Bronx,"Sports and Arts In Schools Foundation, Inc.",347.417.8159,13 to 21,600 Saint Anns Avenue,10455,40.815498,-73.91224
148,149,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 20 JOHN BOWNE SCHOOL,Queens,Chinese American Planning Council,(718) 358-7602,Elementary,142 30 Barclay Avenue,11355,40.758689000000004,-73.824832
149,150,"After-School Programs,Summer Program,Summer Camp",Out of School Time,South Jamaica Center 1,Queens,"Police Athletic League, Inc.",(718) 978-4655,OST,116 25 Guy R Brewer Boulevard,11434,40.686208,-73.784144
150,151,"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Cabrini Immigrant Services (Admin & Activity site),Manhattan,Cabrini Center for Nursing & Rehabilitation,212.791.4590,18+,139 Henry Street,10002,40.713339000000005,-73.99075500000001
151,152,After-School Programs,Beacon,IS 10,Queens,Goodwill Industries of Greater NY,718.777.9202,6 and up,45 11 31st Avenue,11103,40.759363,-73.912902
152,153,After-School Programs,Out of School Time,Groundwork for Success (GWS),Brooklyn,Groundwork Inc.,(718) 346-2200,High School,692 Blake Avenue,11207,40.668071999999995,-73.89317
153,154,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Adlai E. Stevenson High School - H.S. 450,Bronx,"Episcopal Social Services, of New York, Inc.",212.886.5602,High School,1980 Lafayette Avenue,10473,40.82229,-73.856167
154,155,After-School Programs,Beacon,PS 18,Staten Island,United Activities Unlimited,718.448.4834,6 and up,221 Broadway,10310,40.636587,-74.117509
155,156,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 132 JUAN PABLO DUARTE SCH,Manhattan,"Alianza Dominicana, Inc.",(917) 258-3900,Elem/MS/HS,185 Wadsworth Avenue,10033,40.850626,-73.934377
156,157,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Middle School 136,Brooklyn,Educational Counseling Center,(718) 788-3500,Middle School,4004 Fourth Avenue,11232,40.651977,-74.006862
157,158,After-School Programs,Out of School Time,PS 169-Bay Terrace 2,Queens,"Samuel Field YM & YWHA, Inc.",(718) 423-6111,High School,18 25 212th Street,11360,40.782298,-73.779099
158,159,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Brooklyn College Arts Lab,Brooklyn,NEW UTRECHT HIGH SCHOOL (K445),(718) 951-5015, High School,2900 Bedford Avenue,11210,40.631691,-73.952656
159,160,After-School Programs,Out of School Time,Brooklyn Collegiate 1,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 922-1145,Middle School,2240 Dean Street,11233,40.674832,-73.91258
160,161,After-School Programs,Out of School Time,South Jamaica Center 1,Queens,"Police Athletic League, Inc.",(718) 978-4655,Elementary,116 25 Guy R Brewer Boulevard,11434,40.686208,-73.784144
161,162,After-School Programs,Out of School Time,P.S. 18 EDWARD BUSH SCHOOL,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,Elementary,101 MAUJER STREET,11206,40.710609000000005,-73.946977
162,163,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 86 IRVINGTON SCHOOL,Brooklyn,Ridgewood Bushwick Senior Citizens Council,(718) 381-9653,Elementary,220 Irving Avenue,11237,40.700773999999996,-73.91748
163,164,After-School Programs,Out of School Time,So. Bronx Overall (opt. 2),Bronx,South Bronx Overall Economic Devlpmt Corp.Opt 2HS ,(718) 732-7643,High School,1300 Boynton Ave,10472,40.831601,-73.878912
164,165,"Jobs & Internships,Youth Employment",Summer Youth Employment ,"Council of Jewish Organizations of Flatbush, Inc.",Brooklyn,"Council of Jewish Organizations of Flatbush, Inc.",718-252-4446,14 to 24,1550 Coney Island Avenue,11230,40.619517,-73.96418800000001
165,166,After-School Programs,Beacon,MS 2,Brooklyn,Research Foundation of CUNY,718.826.2889,6 and up,655 Parkside Avenue,11226,40.656183,-73.951583
166,167,After-School Programs,Out of School Time,C.E.S. 230 PS 230 DR ROLAND N,Bronx,Supportive Childrens Advocacy Network (SCAN),(718) 583-6116,Elementary,275 Harlem River Park Bridge,10453,40.852536,-73.921467
167,168,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,PS 25 - Eubie Blake School,Brooklyn,CAMBA,(718) 940-1737 x 424,16+,787 Lafayette Avenue,11221,40.691037,-73.941342
168,169,After-School Programs,Teen Action Program,IS 027 ANNING S PRALL (R027),Staten Island,"Sports and Arts In Schools Foundation, Inc.",347.417.8161,13 to 21,11 CLOVE LAKE PLACE,10310,40.628169,-74.116997
169,170,"After-School Programs,Jobs & Internships,Youth Employment",Out-of-School Youth Employment (OSY),South Bronx Job Corps,Bronx,Arbor Employment and Training,718.731.7686,16 to 21,1771 Andrews Avenue,10453,40.850677000000005,-73.91682
170,171,After-School Programs,Out of School Time,P.S. 121 THE THROOP SCHOOL,Bronx,New York Junior Tennis League,(718) 231-3239,Elementary,2750 THROOP AVENUE,10469,40.86608,-73.850982
171,172,After-School Programs,Out of School Time,P.S. 8 P.S. 008 ISSAC VARIAN,Bronx,"Mosholu Montefiore Community Center, Inc.",(718) 365-3857,Elementary,3010 Briggs Avenue,10458,40.872612,-73.883574
172,173,After-School Programs,Out of School Time,Central Queens YM,Queens,Jewish Child Care Association,(718) 275-6489,High School,67 09 108th Street,11375,40.728702,-73.847414
174,175,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 22 P.S. 22,Brooklyn,Friends of Crown Heights Educational Center,(718) 638-8686,OST,443 St Marks Avenue,11238,40.676774,-73.96005799999999
175,176,After-School Programs,Out of School Time,PS 056 HARRY EICHLER (Q056),Queens,The Child Center of New York (QCG) ,(347) 510-4894,Elementary,86 10 114 STREET,11418,40.69919,-73.83529899999999
177,178,After-School Programs,Out of School Time,P.S. 186 DR. IRVING A. GLADSTO,Brooklyn,St. Rosalia-Regina Pacis Neighborhood Improvement,(718) 236-0971,Elementary,7601 19th Avenue,11214,40.611483,-73.994677
178,179,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Jewish Institute of Queens,Queens,Jewish Institute of Queens,(718) 426-9369,OST,60 05 Woodhaven Blvd,11373,40.731256,-73.871561
179,180,"Family Support,NDA Programs", Housing,Aids Center of Queens County,Queens,International Tower for Seniors,(718) 896-2500,Adults,1600 Central Avenue,11691,40.605182,-73.751962
180,181,After-School Programs,Out of School Time,Boys To Men,Bronx,Inwood House,(718) 742-8100,Middle School,522 Courtland Avenue,10451,40.816006,-73.919783
181,182,"Jobs & Internships,Youth Employment",Summer Youth Employment ,Edith and Carl Marks Jewish Community House of Bensonhurst,Brooklyn,Edith and Carl Marks Jewish Community House of Bensonhurst,718-331-6800 x112,14 to 24,7802 Bay Parkway,11214,40.606369,-73.989235
182,183,After-School Programs,Out of School Time,P.S. 140 EAGLE SCHOOL,Bronx,Kips Bay Boys & Girls Club,(718) 585-1205,Elementary,916 Eagle Avenue,10456,40.823289,-73.907948
183,184,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 32 SAMUEL MILLS SPROLE,Brooklyn,Good Shepherd Services,(718) 625-5876,OST,317 Hoyt Street,11231,40.680445,-73.991949
184,185,After-School Programs,Out of School Time,P.S. 200 BENSON SCHOOL,Brooklyn,YMCA of Greater New York/Prospect Park,(917) 842-7569,Elementary,1940 BENSON AVENUE,11214,40.603188,-74.001408
186,187,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./I.S. 43 P.S. 43,Queens,Federation Employment & Guidance Services (FEGS),(718) 471-7875,Elementary,160 Beach 29th Street,11691,40.593834,-73.76174
187,188,After-School Programs,Out of School Time,Sunnyside Community,Queens,"Sunnyside Community Service, Inc.",(718) 784-6173,High School,43 31 39th Street,11104,40.74519,-73.92590899999999
188,189,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 219 KENNEDY-KING SCHOOL,Brooklyn,"University Settlement Society of New York, Inc",(917) 828-6376,OST,1060 CLARKSON AVENUE,11212,40.659288000000004,-73.922919
189,190,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Brooklyn Chinese-American Association,Brooklyn,Brooklyn Chinese-American Association,(718) 438-0008,16+,6809 20th Avenue,11204,40.61468,-73.987765
191,192,"After-School Programs,Summer Program,Summer Camp",Out of School Time,THE SCHOOL FOR HUMAN RIGHTS,Brooklyn,Community Counseling and Mediation,(718) 230-5100,Middle School,"600 Kingston Avenue
floor ",11203,40.658893,-73.942458
192,193,After-School Programs,Beacon,JHS 349/345,Bronx,Aspira of New York,718.842.8289,6 and up,345 Brook Avenue,10454,40.81004,-73.917792
193,194,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 188 KINGSBURY SCHOOL,Queens,The Child Center of New York (QCG) ,(917) 459-4417,OST,218 12 HARTLAND AVENUE,11364,40.736177000000005,-73.753159
194,195,"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,Make the Road New York,Brooklyn,Harlem RBI,(347) 243-7249,Adults,301 Grove Street,11237,40.698448,-73.91562900000001
195,196,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 94 KINGS COLLEGE SCHOOL,Bronx,"Mosholu Montefiore Community Center, Inc.",(718) 405-6345,Elementary,3530 KINGS COLLEGE PLACE,10467,40.880522,-73.87572
196,197,After-School Programs,Beacon,JHS 126,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,718.388.5546,6 and up,424 Leonard Street,11222,40.719819,-73.948625
197,198,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY (X275),Bronx,Citizens Advice Bureau,(718) 732-7523, High School,800 GUN HILL ROAD,10467,40.875953,-73.86197
198,199,After-School Programs,Out of School Time,I.S. 318 EUGENIO MARIA DE HOST,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 782-0589,Middle School,101 Walton Street,11206,40.7025,-73.94886899999999
199,200,After-School Programs,Beacon,PS 1,Brooklyn,SCO Family of Services,718.492.2619,6 and up,309 47th Street,11220,40.649042,-74.012289
200,201,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./I.S. 225 EILEEN E. ZAGLIN,Brooklyn,Shorefront YM-YWHA,(347) 274-3417,OST,1075 OCEAN VIEW AVENUE,11235,40.579737,-73.956329
201,202,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Public School 80 - The Michael J. Petrides School,Staten Island,"Police Athletic League, Inc.",212.477.6504,High School,715 Ocean Terrace,10301,40.608517,-74.102078
203,204,After-School Programs,Out of School Time,Young Minds,Brooklyn,"Fort Green Senior Citizen Council, Inc.",(718) 622-8622,Elementary,972 Fulton Street,11238,40.682446,-73.961984
204,205,After-School Programs,Out of School Time,M.S. 74 NATHANIEL HAWTHORNE SC,Queens,The Child Center of New York (QCG) ,(718) 423-1232,Middle School,61 15 Oceania Street,11364,40.745201,-73.76744599999999
205,206,After-School Programs,Beacon,JHS 216,Queens,"Samuel Field YM - YWHA, Inc. ",718.445.6983,6 and up,64 20 175th Street,11365,40.737517,-73.794031
206,207,After-School Programs,Out of School Time,Harlem Temple Community Center,Manhattan,The Salvation Army ,(212) 862-3900,Elementary,540 Lenox Ave,10037,40.815601,-73.93975400000001
207,208,"Jobs & Internships,Youth Employment",Summer Youth Employment ,Research Foundation of CUNY - LaGuardia CC,Queens,Research Foundation of CUNY - LaGuardia CC,718-482-5340,14 to 24,"29 10 Thomson Avenue
Rm C ",11101,40.745216,-73.937602
208,209,"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 249 - The Caton School,Brooklyn,"CAMBA, Inc.",718-282-5575,A parent 16 Years Old or Older ,18 Marlborough Road,11226,40.64971,-73.96604599999999
209,210,"Jobs & Internships,Youth Employment",Summer Youth Employment ,"Vannguard Urban Improvement Association, Inc. - ",Brooklyn,"Vannguard Urban Improvement Association, Inc. - ",718-453-3330 ,14 to 24,141 Macon Street,11216,40.681571999999996,-73.94544599999999
210,211,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Friends Ed Center,Brooklyn,Friends of Crown Heights Educational Center,(718) 638-8686,OST,671 Prospect Place,11216,40.674695,-73.954594
211,212,After-School Programs,Teen Action Program,MS. 035 Stephen Decatur (K035),Brooklyn,SCO Family of Services,718.919.1226,13 to 21,272 Macdonough Street,11233,40.681896,-73.935963
212,213,After-School Programs,Out of School Time,P.S. 92 ADRIAN HEGEMAN,Brooklyn,CAMBA  ,(718) 287-1216,Elementary,601 Parkside Avenue,11226,40.656046,-73.953742
213,214,"Jobs & Internships,Youth Employment",Summer Youth Employment ,"St. Mary's Community Services, Inc.",Brooklyn,"St. Mary's Community Services, Inc.",718-230-0827 ,14 to 24,230 Classon Avenue,11205,40.692769,-73.960824
214,215,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",(718) 891-0264,16+,3300 Coney Island Avenue,11235,40.575607,-73.959463
215,216,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,PSS/WSF GrandParent Family Apartment,Bronx,Manhattan Legal Services,(212) 874-6633,Middle School,951 Prospect Avenue,10459,40.822317,-73.90053499999999
216,217,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Bedford Stuyvesant Restoration Corporation,Brooklyn,Bedford Stuyvesant Restoration Corporation,718.636.6931,High School,1368 Fulton Street,11216,40.680175,-73.945717
217,218,After-School Programs,Out of School Time,Yeshiva Kehilath Yakov - Boys,Brooklyn,Yeshiva Kehilath Yakov,(718) 972-2900,Elementary,4706 10th Avenue,11219,40.640015000000005,-73.997694
218,219,After-School Programs,Out of School Time,Canarsie HS,Brooklyn,"Global Kids, Inc.",(212) 226-0130,High School,1600 Rockaway Parkway,11236,40.641474,-73.89825400000001
219,220,After-School Programs,Out of School Time,I.S. 73 I.S. 73 - THE FRANK SA,Queens,"Maspeth Town Hall, Inc.",(718) 335-6049,Middle School,70 02 54 Avenue,11378,40.729215,-73.893624
220,221,After-School Programs,Out of School Time,St. James Rec,Bronx,"Childrens Arts & Science Workshops, Inc.",(212) 542-0578,Elem/MS/HS,2530 Jerome Avenue,10468,40.864777000000004,-73.899489
222,223,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Public School 314 - Luis Munoz Marin Elementary School,Brooklyn,SCO Family of Services,516.671.1253,High School,330 59th Street,11220,40.642121,-74.018997
223,224,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 44 THOMAS BROWN SCHOOL,Staten Island,"United Activities Unlimited, Inc.",(718) 644-1318,OST,80 MAPLE PARKWAY,10303,40.63179,-74.156439
224,225,After-School Programs,Out of School Time,51 AVENUE ACADEMY PATH TOQ877,Queens,Coalition for Hispanic Family Services,(347) 768-0241,Elementary,76 05 51 AVENUE,11373,40.73679,-73.887438
225,226,"Immigration Services,Immigrant Support Services",Domestic Violence Program,Kensington Self-Help ,Brooklyn,New York Legal Assistance Group (NYLAG),212-613-5000,All Ages,419 Church Ave,11218,40.644278,-73.97594699999999
226,227,After-School Programs,Out of School Time,Cornerstone Academy for Social,Bronx,"Sports and Arts In Schools Foundation, Inc.",(347) 417-8159,Elementary,3441 Steenwick Avenue,10475,40.883025,-73.830366
227,228,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,I.S.117 JOSEPH H WADE (X117),Bronx,PS 126 JACOB AUGUST RIIS (M126),(212) 652-2812,Middle School,1865 MORRIS AVENUE,10453,40.848516,-73.908427
